name,regex,dictabert,hebert,regex_sources,dictabert_sources,hebert_sources
הו גווא,,✓,,0,4,0
הו גוואן,,,✓,0,0,2
הו גוואן מדינה סין,✓,,,2,0,0
הובר,,✓,,0,4,0
הובר שרו,,✓,,0,2,0
הובר שרואל,,,✓,0,0,4
הובר שרואל מדינה,,,✓,0,0,2
הובר שרואל מדינה צרפת,✓,,,2,0,0
הולנד,,✓,,0,2,0
הוקרן,,,✓,0,0,2
הזהב בקאן,✓,,,2,0,0
הזנוויציוס,,,✓,0,0,2
היי,,✓,,0,8,0
הייאו מיאזאקי,,,✓,0,0,4
הייאו מיאזאקי מדינה יפן,✓,,,2,0,0
הייאו מיאזאקי שנה,✓,,,6,0,0
הייאו מיאזקי,,,✓,0,0,2
הילה גיא,,✓,✓,0,2,2
הילה רוי,,✓,,0,4,0
הילה רויזנמן,✓,,✓,4,0,3
היריאמה,,,✓,0,0,2
המדויק של לי סאנג,✓,,,4,0,0
המוערך וולטר סאלס,✓,,,2,0,0
המפנקים,,,✓,0,0,4
הנקה,,✓,✓,0,2,4
הנקלע למשבר נישואין בזמן,✓,,,4,0,0
העולה לאוני בנש,✓,,,2,0,0
הערבה,,,✓,0,0,4
הפיני שרכש את מעמדו,✓,,,2,0,0
הפסיה הרזי מדינה צרפת,✓,,,2,0,0
הקאבוקי הדגול האנאי הנג,✓,,,4,0,0
הקנדי המצוין תיאודור פלרין,✓,,,4,0,0
הרז,,✓,,0,4,0
ובנו,,✓,,0,2,0
וגורל,,,✓,0,0,2
ודיס מישל הזנוויציוס טלילה פרנק כליל כוב,,,✓,0,0,2
ודניאל,,✓,,0,4,0
והגבולות בין אמת לשקר,,,✓,0,0,1
והמשקיעים הולכים ומאבדים את,✓,,,2,0,0
והשייח ',,,✓,0,0,6
והתסריטאית מטפלת ברגישות בסוגיות,✓,,,2,0,0
וולטר סאל,,✓,,0,4,0
וולטר סאלס,,,✓,0,0,2
וולטר סאלס מדינה ברזיל,✓,,,2,0,0
וולך,,,✓,0,0,1
ווקר,,✓,,0,2,0
וטוני,,✓,,0,4,0
וטי,,✓,,0,2,0
ויג ' ונתן גלייזר,,,✓,0,0,1
ויז,,,✓,0,0,2
ויילד באנ,,✓,,0,2,0
וים ונדרס,,✓,✓,0,8,4
וים ונדרס מדינה יפן,✓,,,6,0,0
וים ונדרס מדינה מערב,✓,,,2,0,0
וימ,,,✓,0,0,1
וכשותף לכתיבת התסריט,✓,,,4,0,0
ולאה סד,,✓,,0,2,0
ולרי,,✓,,0,2,0
ולרי דונ,,✓,,0,4,0
ולרי דונזלי,,,✓,0,0,2
ולרי דונזלי מדינה צרפת,✓,,,2,0,0
ולריה ברוני טדסקי,,,✓,0,0,2
ומארק אדלשטיין,,✓,,0,2,0
ומבטא את הרומנטיקה האקסצנטרית,✓,,,2,0,0
ומיטשטש,,,✓,0,0,1
ומרי,,✓,,0,2,0
ומתן גל,,✓,,0,2,0
ון קס,,✓,,0,2,0
ונדרס,,,✓,0,0,1
וניה,,✓,✓,0,2,2
ונתן גלייזר,,✓,✓,0,5,2
ונתן גלייזר ריו,,✓,,0,2,0
וסט,,✓,✓,0,2,2
וסי,,✓,,0,2,0
וסמ,,✓,,0,2,0
ועומר בן - דוד,,✓,,0,6,0
ועומר בן - דוד מדינה,,✓,,0,2,0
ופול ניומן,,✓,,0,2,0
ופיי דא,,✓,,0,3,0
ופיי דאנאו,,✓,,0,1,0
ופרבה,,,✓,0,0,2
ורומן גרה,,✓,,0,2,0
ושתייה,,,✓,0,0,1
ז ' אן - לוק גודאר,,✓,,0,3,0
ז ' אן ־ לוק גודאר,,,✓,0,0,2
ז ' ולייט,,✓,,0,1,0
ז ' ולייט ארמ,,✓,,0,3,0
ז ' ולייט ארמאנה,,,✓,0,0,3
ז ' וסטין טרייה,,,✓,0,0,2
ז ' יל מרש,,✓,✓,0,2,2
ז קורבוזייה,,,✓,0,0,2
ז'אן-לוק גודאר מדינה צרפת,✓,,,2,0,0
ז'וסטין טרייה מדינה צרפת,✓,,,6,0,0
זהר ברוק,,✓,✓,0,2,2
זוהר,,✓,,0,2,0
זוהר מוטעין,,,✓,0,0,2
זוהר סלע,,✓,✓,0,2,2
זיו ברקוביץ ',,✓,✓,0,2,2
זיל,,✓,,0,4,0
חטא,,,✓,0,0,2
חיים טבק,,✓,,0,2,0
חיים טבקמן,,,✓,0,0,2
חיים פשוטים ושגרתיים למדי,✓,,,2,0,0
חלי גולדנברג,,✓,✓,0,2,2
חנה אזולאי ־ הספרי,,✓,✓,0,2,2
חפסיה הרזי,,,✓,0,0,3
טאל,,✓,,0,2,0
טאלה,,,✓,0,0,2
טאק,,✓,,0,2,0
טאקו,,✓,,0,2,0
טאקומי,,,✓,0,0,2
טוטו,,✓,,0,2,0
טוטון,,,✓,0,0,2
טוני,,✓,✓,0,4,4
טוני ארד,,✓,,0,2,0
טוני ארדמן,,,✓,0,0,2
טוני לונג,,✓,,0,2,0
טוני לונג ולאה סדו,,,✓,0,0,2
טורס,,✓,,0,2,0
טורקית ומקדונית,✓,,,2,0,0
טינקר שיר,,✓,,0,4,0
טינקר שיראי,,,✓,0,0,4
טל מוסקוביץ ',,✓,,0,2,0
טל מוסקוביץ ' ומתן גלזובסקי,,,✓,0,0,2
טלי,,✓,,0,6,0
טלילה,,,✓,0,0,2
טלילה פרנק,✓,,✓,4,0,4
טלילה פרנק מדינה,,,✓,0,0,2
טרייה,,✓,✓,0,2,2
יהב וינר,,✓,✓,0,2,2
יהושוע גיגי,,✓,✓,0,2,2
יהושוע רבינוביץ,,,✓,0,0,2
יואב בבלי,,✓,✓,0,2,2
יואכים טרייר,,✓,✓,0,4,2
יואכים טרייר מדינה נורבגיה,✓,,,2,0,0
יואל רוז,,✓,,0,4,0
יואל רוזנקיאר,,,✓,0,0,4
יובל דיין,,✓,✓,0,2,2
יונתן אלב,,✓,,0,2,0
יונתן אלבלק,,,✓,0,0,2
יונתן ג ' ייקוב,,✓,✓,0,2,2
יונתן רוזנבאום,,✓,✓,0,2,2
יוסוקה,,,✓,0,0,2
יוסף שטרית,,✓,,0,1,0
יוסף שטרית לי,,✓,,0,2,0
יוסף שטרית מדינה,,✓,,0,2,0
יוסר,,✓,,0,8,0
יוסרא אבו כף,✓,,✓,4,0,7
יוסרא אבו כף מדינה,✓,,,2,0,0
יוצא הדופן של שון,✓,,,2,0,0
יינהטאון,,,✓,0,0,1
ילאני דייגו סספדס,,,✓,0,0,1
ימי,,,✓,0,0,2
יעל,,✓,,0,4,0
יעל עמית,,,✓,0,0,2
יעל רייס,,✓,✓,0,6,1
יעל רייספלד,✓,,✓,4,0,6
יפעת תדמור,,✓,✓,0,2,2
כארי,,,✓,0,0,2
כהן,,✓,,0,2,0
כותרות באנגלית,✓,,,2,0,0
כינר דר,,,✓,0,0,2
כליל,,✓,✓,0,2,5
כליל כובש,✓,,✓,4,0,4
כריס באק,,✓,✓,0,4,2
כריס באק מדינה,,,✓,0,0,1
כשא,,✓,,0,2,0
כשג,,✓,,0,2,0
כשגילה,,✓,✓,0,4,2
לאוני בנש,,✓,,0,2,0
לאנג,,✓,✓,0,2,2
לאשה שמש,,,✓,0,0,2
לב גול,,✓,,0,2,0
לב גולצר,,,✓,0,0,2
לגייס את המשאבים להפקתו,✓,,,2,0,0
לדויד,,✓,✓,0,2,2
לדויד קוני,,✓,,0,4,0
לדויד קוניו,,,✓,0,0,2
לואיז קורב,,✓,,0,4,0
לואיז קורבוזייה,,,✓,0,0,2
לואיז קורבוזייה מדינה צרפת,✓,,,2,0,0
לווא,,✓,,0,2,0
לוי,,✓,,0,1,0
לוי זק,,✓,,0,2,0
לוסי,,✓,✓,0,2,2
לוסיה,,,✓,0,0,4
לוק גודאר,,,✓,0,0,1
לוקה,,✓,✓,0,2,2
לורה ונדל,✓,✓,✓,4,2,2
לורן פיט,,✓,,0,2,0
לורן פיטארו,,,✓,0,0,2
לי דרור,✓,✓,✓,2,2,2
לי דרור מדינה ישראל,,✓,,0,2,0
לי סאנג,✓,,,2,0,0
לי סאנג ־ איל,,✓,,0,2,0
ליא,,✓,,0,2,0
ליאור וייצמן,,✓,✓,0,2,2
ליאן,,,✓,0,0,2
ליאן אבידן איזי,,✓,,0,2,0
ליאן אבידן איזיקסון,,,✓,0,0,2
ליאנה ברקוביץ ',,,✓,0,0,2
ליאת תמרי,,✓,✓,0,2,2
לידיה,,✓,,0,4,0
ליהי קורנ,,✓,,0,2,0
ליהי קורנובסקי,,,✓,0,0,2
ליהיא נחמני,,✓,✓,0,2,2
ליוסף,,✓,,0,4,0
ליז,,✓,,0,1,0
ליז אקו,,✓,,0,4,0
ליז אקוקה,✓,,✓,2,0,2
ליז אקוקה ורומן גרה,,,✓,0,0,4
לינה,,,✓,0,0,10
לירי גורן,,✓,✓,0,2,2
ללי,,✓,✓,0,2,2
למיאזאקי,,,✓,0,0,2
לעצמה משפחה פיקטיבית במקום,✓,,,4,0,0
מאורה דל,,✓,,0,4,0
מאורה דלפרו,,,✓,0,0,2
מאורה דלפרו מדינה איטליה,✓,,,2,0,0
מאי רש,,✓,✓,0,2,2
מאיה קניג,,✓,,0,4,0
מאיה קניג מדינה,,,✓,0,0,2
מאיה קסל,,✓,✓,0,4,2
מאיר,,✓,✓,0,4,4
מאיר סוויסה,,✓,✓,0,2,2
מאלו קב,,✓,,0,2,0
מארי אמשוקלי,,,✓,0,0,6
מארי אמשוקלי מדינה צרפת,✓,,,6,0,0
מאשה הלבר,,✓,,0,4,0
מאשה הלברסטאד הולנד מדינה,✓,,,2,0,0
מדבר,,,✓,0,0,2
מדויק ושנינות אינסופית,✓,,,2,0,0
מדינה,,✓,,0,9,0
מויאש בראנון,,,✓,0,0,1
מולי,,✓,,0,1,0
מולי מני,,✓,,0,3,0
מולי מנינג,,,✓,0,0,2
מולי מנינג - ווקר,,,✓,0,0,4
מולי מנינג ־ ווקר,,,✓,0,0,2
מולי מנינג-ווקר מדינה בריטניה,✓,,,6,0,0
מז ' ימ,,✓,,0,2,0
מזל דגים,,,✓,0,0,2
מטי,,✓,,0,2,0
מטיאס זגוני,,,✓,0,0,2
מיא,,✓,,0,2,0
מיאזאקי,,✓,✓,0,7,6
מיאזאקי מדינה יפן,,✓,,0,2,0
מיאטה,,,✓,0,0,2
מייקי מדיסון,,✓,,0,2,0
מייקי מדיסון ומארק אדלשטיין,,,✓,0,0,2
מייקל,,✓,,0,2,0
מייקל דודו,,✓,,0,4,0
מייקל דודוק דה,,,✓,0,0,2
מייקל דודוק דה - ויט,,,✓,0,0,2
מייקל דודוק דה-ויט מדינה,✓,,,2,0,0
מייקל קורט,,✓,,0,4,0
מייקל קורטיז,,,✓,0,0,6
מייקל קורטיז מדינה ארה,✓,,,6,0,0
מיכאל הנקה,,✓,✓,0,4,4
מיכאל הנקה אש ברא,,✓,,0,2,0
מיכאל הנקה מדינה אוסטריה,✓,,,2,0,0
מיכאל יעקב,,✓,✓,0,2,2
מיכאל רוזנבאום,,✓,✓,0,2,2
מילוש פורמן,✓,✓,✓,2,4,2
מילוש פורמן מדינה ארה״ב,✓,,,2,0,0
מין בהאדור בהאם מדינה,✓,,,2,0,0
מינימום,,,✓,0,0,2
מיק,,✓,,0,4,0
מיקאל,,,✓,0,0,4
מיקל,,✓,,0,7,0
מיקלאנג ' לו אנטוניוני,,,✓,0,0,4
מיקלאנג ' לו אנטוניוני באנגלית,,,✓,0,0,4
מישל,,,✓,0,0,2
מישל אוסלו,✓,✓,✓,2,4,2
מישל הז,,✓,,0,4,0
מישל הזנוויציוס,,,✓,0,0,2
מישל הזנוויציוס מדינה צרפת,✓,,,2,0,0
מישל פיקו,,✓,,0,2,0
מישל פיקולי,,,✓,0,0,2
מישל פרנ,,,✓,0,0,2
מישל פרנקו,,✓,✓,0,10,8
מישל פרנקו לי סאנג,,✓,,0,1,0
מישל פרנקו לי סאנג ־ איל אתי ציק,,✓,,0,1,0
מישל פרנקו מדינה מקסיקו,✓,,,2,0,0
מישל פרנקו שנה,✓,,,6,0,0
מכתב לדויד,✓,,,2,0,0
מנד,,✓,,0,4,0
מני,,✓,,0,2,0
מסאי,,✓,,0,2,0
מסאיה אוקובו,,,✓,0,0,2
מסלול,,,✓,0,0,2
מצליח בשנות הארבעים לחייו,✓,,,4,0,0
מרווה דיז,,✓,,0,2,0
מרווה דיזדר,,,✓,0,0,2
מרינה,,✓,✓,0,2,2
מרצ ' לו,,,✓,0,0,2
מרק רוזנבאום,,✓,✓,0,2,2
מרתה,,✓,✓,0,2,2
נאנדאורי,,,✓,0,0,2
נגה,,✓,✓,0,2,4
נדיה טרס,,✓,,0,2,0
נדיה טרסקיביץ ' ובנואה מז ' ימל,,,✓,0,0,2
נדיה מליט,,✓,,0,4,0
נדיה מליטי,,,✓,0,0,4
נוה צור,,✓,✓,0,2,2
נוי ברק,,✓,✓,0,2,2
נועזות והופעות משחק נפלאות,✓,,,2,0,0
נורה,,✓,✓,0,2,2
נורי ביל,,✓,,0,4,0
נורי בילגה ג ' יילן,,,✓,0,0,6
נורי בילגה ג'יילן מדינה,✓,,,6,0,0
נטע ריסקין,,✓,✓,0,2,2
ניבה לב,,✓,✓,0,2,2
ניל גיבס,,,✓,0,0,2
נינו,,✓,✓,0,4,2
ניסוי בצמחים שמוביל לגילויים,✓,,,4,0,0
ניקולסון,,✓,✓,0,4,2
ניקולסון ופיי דאנאוויי,,,✓,0,0,2
ניקי,,✓,,0,2,0
ניקיה אדאמס,,,✓,0,0,2
ניר דבור,,✓,,0,2,0
ניר דבורצ ' ין,,,✓,0,0,2
נעה רום,,✓,✓,0,2,2
נעם פרנק,,✓,✓,0,2,2
נעמה שוחט,,✓,✓,0,2,2
נתי זייד,,✓,,0,2,0
נתי זיידנשטד,,,✓,0,0,2
סאל,,✓,,0,2,0
סאמט,,✓,✓,0,2,2
סאנו,,,✓,0,0,2
סאסא,,✓,,0,2,0
סגל,,,✓,0,0,1
סווי,,✓,,0,2,0
סוזנה פפי,,✓,,0,2,0
סוזנה פפיאן,,,✓,0,0,2
סול,,,✓,0,0,2
סולימאן,,✓,✓,0,2,4
סוסקה,,,✓,0,0,2
סופי,,✓,✓,0,2,2
סופיה אוטר,,✓,,0,2,0
סופיה אוטרו,,,✓,0,0,2
סטודיו הייב,,,✓,0,0,4
סטלין,,✓,✓,0,4,3
סטפן קומ,,✓,,0,4,0
סטפן קומנדרב,,,✓,0,0,2
סטפן קומנדרב מדינה בולגריה,✓,,,2,0,0
סטפני,,✓,,0,2,0
סטפני די,,✓,,0,2,0
סטפני די גיוס,,✓,,0,2,0
סטפני די גיוסטו שנה,✓,,,6,0,0
סי היי,,✓,,0,2,0
סיון,,✓,,0,1,0
סיון לוי זק,,✓,,0,6,0
סיון לוי זקין,,,✓,0,0,4
סיון לוי זקין מדינה,✓,,✓,2,0,2
סיון לוי זקין שירה גפן רונה סגל עמרי ברזילי ועומר בן - דוד סיון לוי זקין פרנסיס פורד קופולה לי דרור,,,✓,0,0,2
סילביה,,✓,✓,0,2,2
סיני פתר,,✓,✓,0,2,2
סיפורם של שני פרקליטים,✓,,,2,0,0
סלאמה אבו אלג,,✓,,0,2,0
סלאמה אבו אלגיעאן,,,✓,0,0,2
סלימאן אבו כף,,✓,✓,0,2,2
סנדרה הול,,✓,,0,2,0
סנדרה הולר,,,✓,0,0,2
ססיל,,✓,✓,0,4,3
ספיר,,✓,✓,0,3,2
סרגיי לוז,,✓,,0,6,0
סרגיי לוזניצה,,,✓,0,0,4
סרגיי לוזניצה מדינה צרפת,✓,,,2,0,0
סתיו מורג מרון,,✓,✓,0,2,2
עבדאללה,,✓,✓,0,12,6
עדו ברק,,✓,✓,0,2,2
עדי כהן,,✓,✓,0,2,2
עומר חמא,,✓,,0,2,0
עומר חמאוי ארנסט,,,✓,0,0,2
עומרי דוד,,✓,✓,0,2,2
עינת קופר,,✓,✓,0,2,2
על סיפור חייו כדי,✓,,,2,0,0
עלמה רום,,✓,✓,0,2,2
עמית חכ,,✓,,0,2,0
עמית חכמוב,,,✓,0,0,2
עמית פולק,,✓,✓,0,2,2
עמית ראסל גי,,✓,,0,2,0
עמית ראסל גיצלטר,,,✓,0,0,2
עמית רהב,,✓,✓,0,2,2
עמנואל פאר,,✓,,0,4,0
עמנואל פארבו,,,✓,0,0,2
עמנואל פארבו מדינה רומניה,✓,,,2,0,0
עמרי ברזילי,,✓,✓,0,8,4
עמרי ברזילי ועומר,,,✓,0,0,1
עמרי ברזילי ועומר בן - דוד,,,✓,0,0,6
עמרי ברזילי ועומר בן - דוד מדינה,,,✓,0,0,2
עמרי ברזילי ועומר בן-דוד,✓,,,6,0,0
ענבר בוז,,✓,,0,2,0
ענבר בוזנח,,,✓,0,0,2
ענת רבני,,✓,,0,2,0
ענת רבניצקי,,,✓,0,0,2
עפר ינו,,✓,,0,2,0
עפר ינוב,,,✓,0,0,2
עצים ולהקשיב למוזיקה,✓,,,2,0,0
עצמו ומוזיקה מופלאה של,✓,,,2,0,0
פאנינג ),,,✓,0,0,2
פאר,,✓,,0,1,0
פבלו ברגר,,✓,✓,0,6,6
פבלו ברגר איל,,✓,,0,2,0
פבלו ברגר מדינה ספרד,✓,,,6,0,0
פדרו אלמודובר,,✓,✓,0,4,2
פדרו אלמודובר מדינה ספרד,✓,,,2,0,0
פוג,,,✓,0,0,1
פול,,✓,✓,0,2,2
פול קירש,,✓,,0,4,0
פול קירשר,,,✓,0,0,4
פולין לוקה מדינה צרפת,✓,,,2,0,0
פולין קייל,,✓,,0,2,0
פולנסקי,,✓,,0,1,0
פוני,,✓,,0,2,0
פוניו,,,✓,0,0,2
פוניו וסוסקה,,,✓,0,0,2
פורד קופולה לי דרור,✓,,,2,0,0
פטי,,✓,,0,2,0
פטימה,,,✓,0,0,4
פיאל קפאדיה,,,✓,0,0,2
פיאל קפאדיה מדינה צרפת,✓,,,2,0,0
פיטר סאר,,✓,,0,2,0
פיטר סארסגארד,,,✓,0,0,2
פיטר סארסגארד ),,,✓,0,0,2
פייטרו,,✓,✓,0,2,2
פינ,,,✓,0,0,2
פיפ,,✓,,0,2,0
פיקו,,✓,,0,2,0
פיקולי,,,✓,0,0,2
פיראס נסאר,,✓,✓,0,2,2
פלין,,✓,,0,2,0
פמה,,,✓,0,0,2
פני בן דוד,,✓,✓,0,2,2
פני בן דוד מדינהישראל,,,✓,0,0,1
פסקול ומיקס נתי זיידנשטדט,✓,,,2,0,0
פרבה,,,✓,0,0,2
פריץ לאנג,,✓,✓,0,4,4
פרנ,,✓,,0,2,0
פרניי,,,✓,0,0,2
פרננדה טורס,,,✓,0,0,2
פרנסיס פורד קופולה,,✓,✓,0,2,2
פרנסיס פורד קופולה לי דרור,,✓,,0,2,0
פרנסיס פורד קופולה מדינה,✓,,,2,0,0
פרנץ רוג,,✓,,0,2,0
פרנץ רוגובסקי,,,✓,0,0,2
פרנצ ',,✓,✓,0,2,2
פרנק,,✓,,0,4,0
פרנק מדינה,,✓,,0,4,0
צ ' טאק,,✓,,0,6,0
צ ' יינהטאון,,,✓,0,0,1
צ ' פלין,,✓,✓,0,2,4
צ ' רלי,,,✓,0,0,1
צ ' רלי צ ' פלין,,✓,✓,0,4,3
צ'רלי צ'פלין מדינה ארה,✓,,,2,0,0
צדק לשחיתות,,,✓,0,0,1
צוק,,,✓,0,0,2
צוקים,,,✓,0,0,4
צוקים בימוימאיה קס,,,✓,0,0,1
ציקו,,,✓,0,0,1
קאו,,✓,,0,2,0
קאוריסמקי,,,✓,0,0,2
קביזי,,,✓,0,0,2
קובי מזרחי,,,✓,0,0,2
קובי מזרחי הפקות,,✓,,0,2,0
קובי עזרן,,✓,,0,2,0
קובי עזרן - סוליו,,,✓,0,0,2
קודי,,✓,✓,0,4,4
קודי מאב,,✓,,0,3,0
קודי מאבריק,,,✓,0,0,4
קוה,,✓,,0,2,0
קוהיי איגראשי,,,✓,0,0,2
קוהיי איגראשי מדינה יפן,✓,,,2,0,0
קוז ' י יאק,,✓,,0,2,0
קוז ' י יאקושו,,,✓,0,0,2
קול,,✓,,0,2,0
קולינ,,,✓,0,0,1
קולנוע מפורסם,✓,,,4,0,0
קומ,,✓,,0,2,0
קומנדרב,,,✓,0,0,2
קופולה,,✓,✓,0,2,2
קור,,,✓,0,0,1
קורוס,,✓,,0,1,0
קורנ,,✓,,0,4,0
קורנב,,,✓,0,0,3
קזואו סאסאקי,,,✓,0,0,2
קיד וקסידי,,,✓,0,0,2
קייל,,,✓,0,0,2
קים בימוי אליצ ' ה רורוואכר,,,✓,0,0,2
קימיקה,,,✓,0,0,2
קיקואו,,,✓,0,0,2
קירי,,✓,,0,2,0
קיריקו,,,✓,0,0,2
קלב,,✓,,0,2,0
קלבר מנדונסה,✓,,✓,4,0,2
קלבר מנדונסה ־ פיליו,,,✓,0,0,2
קלייר בור,,✓,,0,2,0
קלייר בורז ' ה וסמואל תאיס,,,✓,0,0,2
קפא,,✓,,0,2,0
קרין טר,,✓,,0,4,0
קרין טרדייה,,,✓,0,0,2
קרין טרדייה מדינה צרפת,✓,,,2,0,0
קרלה,,✓,✓,0,2,2
קרלה נובאק,,✓,✓,0,2,2
קרן סופר,,,✓,0,0,2
קשר קרוב עם מורה,✓,,,2,0,0
ראשית ליאן אבידן איזיקסון,✓,,,2,0,0
רדפורד,,✓,,0,2,0
רדפורד ופול ניומן,,,✓,0,0,2
רוברט טאון,,✓,✓,0,4,3
רוברט רדפורד,,✓,✓,0,2,2
רוג ' ר איבר,,✓,,0,2,0
רוג ' ר איברט,,,✓,0,0,2
רודולף הס,,✓,✓,0,2,2
רוז,,✓,,0,4,0
רוזאלי,,,✓,0,0,2
רוזאלי רוזאלי,,,✓,0,0,5
רוזנטל,,✓,✓,0,5,3
רוזנטל גלי,,,✓,0,0,2
רומן,,,✓,0,0,1
רומן פולנסקי,,✓,✓,0,6,2
רומן פולנסקי והתסריטאי רוברט,✓,,,4,0,0
רומן פולנסקי והתסריטאי רוברט טאון מגישי,,,✓,0,0,1
רומן פולנסקי מדינה ארה״ב,✓,,,2,0,0
רונ,,✓,,0,4,0
רונאר רונארסון,,,✓,0,0,2
רונאר רונארסון מדינה איסלנד,✓,,,2,0,0
רונה - לי שמעון,,✓,✓,0,2,2
רונה סגל,✓,✓,✓,4,6,6
רוני,,✓,,0,4,0
רוני בהט,✓,✓,✓,4,6,4
רוני בהט מדינה,,,✓,0,0,2
רונן מכלי,,✓,,0,4,0
רונן מכליס בלזם,,,✓,0,0,4
רועי ניק,,✓,✓,0,2,2
רועי ציוני,,✓,✓,0,2,2
רותם,,✓,,0,2,0
רותם וסיון לוי זקין,,,✓,0,0,2
רותם קינן,,✓,✓,0,2,2
רידינג,,✓,,0,4,0
ריו,,✓,,0,2,0
ריוסוקה המגוצ,,,✓,0,0,2
ריוסוקה המגוצ ' י,,,✓,0,0,2
ריוסוקה המגוצ'י מדינה יפן,✓,,,6,0,0
ריימונד בורל,,✓,,0,4,0
ריימונד בורלה,,,✓,0,0,3
ריימונד בורלה מילוש פורמן ג ' ון קסאווטס אקירה קורוסאווה מין בהאדור בהאם קוהיי איגראשי שון בייקר מאורה דלפרו יעל רייספלד גינטס זילבאל,,,✓,0,0,2
רייס,,✓,,0,4,0
רייקיאוויק,,,✓,0,0,2
רלי,,✓,,0,1,0
רלי צ,,✓,,0,2,0
רמאטה ־ טולאי,,,✓,0,0,2
רמאטה ־ טולאי סי,,,✓,0,0,2
רמאטה ־ טולאי סי הייאו מיאזאקי סטפני די גיוסטו ג ' ונתן דמי מייקל קורטיז מישל פרנקו מאיה קסל שמר גאון דוד וולך ז ' וסטין טרייה ג ' ונתן גלייזר ריוסוקה המגוצ ' י מארי אמשוקלי אליצ ' ה רורוואכר וים ונדרס נורי בילגה ג ' יילן אקי קאוריסמקי מולי מנינג - ווקר אסטיבליז אורסולה סולגורן פבלו ברגר אילקר צ ' טאק,,,✓,0,0,2
רן קפלן,,✓,✓,0,2,2
רנא אבו פריחה,,✓,,0,2,0
רנא אבו פריחה - אסיאג,,,✓,0,0,2
רנטה ריינס,,✓,,0,2,0
רנטה ריינסב,,,✓,0,0,2
רני אבי,,✓,,0,2,0
רני אביטבול,,,✓,0,0,2
שביט,,✓,,0,2,0
שגרת חיים בריאה ושוקקת,✓,,,2,0,0
שובל,,✓,✓,0,4,4
שוויץ,,,✓,0,0,2
שון בייקר,✓,✓,✓,4,6,2
שון בייקר מדינה ארה״ב,✓,,,2,0,0
שחר שיר,,✓,,0,2,0
שחר שיראי,,,✓,0,0,2
שטרית,,✓,,0,2,0
שי - לי עטרי,,✓,✓,0,2,2
שי - שינג,,✓,✓,0,2,2
שי - שינג צו,,✓,✓,0,2,2
שי - שינג צו קלב,,✓,,0,2,0
שי אביבי,,✓,✓,0,2,2
שי גולדמן,,✓,✓,0,2,2
שי פלג,,✓,✓,0,2,2
שי-שינג צו מדינה טאיוואן,✓,,,2,0,0
שירה,,✓,,0,1,0
שירה גפן,✓,✓,✓,2,6,6
שירה גפן מדינה ישראל,,,✓,0,0,2
שלו עוזב אותו,✓,,,2,0,0
שלמה בראבא,,✓,✓,0,2,2
שמארי אמשוקלי,,,✓,0,0,2
שמבה,,✓,,0,1,0
שמיק,,✓,,0,4,0
שמיקאל ודניאל,,,✓,0,0,3
שמר גאון,,,✓,0,0,2
שמר גאון שנה,✓,,,2,0,0
שמרי,,✓,,0,2,0
שמרינה,,,✓,0,0,2
שני ברט עיצוב,,,✓,0,0,2
שני ברט צילום אזמראו זמיר נגה,,,✓,0,0,2
שפיר סרוסי,,✓,✓,0,2,2
שצ ',,,✓,0,0,1
שצ ' פלין,,✓,✓,0,4,3
שרה ורון,,✓,,0,2,0
שרה ורון ומג,,,✓,0,0,2
שרו,,✓,,0,3,0
שרואל מדינה,,,✓,0,0,1
שרון,,✓,✓,0,4,4
שרון שחל,,✓,✓,0,2,2
שרונה,,✓,✓,0,6,4
שרי,,✓,✓,0,4,6
תאי,,✓,,0,2,0
תום שובל,,✓,✓,0,4,4
תום שובל אורן גרנר,✓,,,2,0,0
"תום שובל אורן גרנר | יוסרא אבו כף | הילה רויזנמן | פני בן דוד ולרי דונזלי ג ' ורג ' רוי היל רומן פולנסקי מיקלאנג ' לו אנטוניוני ז ' אן - לוק גודאר מיכאל הנקה אש בראנון, כריס באק מישל פרנקו לי סאנג ־ איל אתי ציקו פולין לוקה אילדיקו אניידי דייגו סספדס סטפן קומנדרב צ ' רלי צ ' פלין יוסרא אבו כף אורן גרנר ליז אקוקה, רומן גרה יואכים טרייר מאשה הלברסטאד הולנד אמלי בונן שי - שינג צו קלבר מנדונסה ־ פיליו איל חלפון גאורגי אונקובסקי סרגיי לוזניצה הפסיה הרזי הובר שרואל l",,,✓,0,0,2
"תום שובל, לדויד קוניו",,,✓,0,0,2
תיאודור פלר,,✓,,0,2,0
תיאודור פלרין,,,✓,0,0,2
תימ,,✓,,0,2,0
תימור כהן,,,✓,0,0,2
תמר ריינה,,✓,,0,2,0
תמר ריינהרץ,,,✓,0,0,2
